Metadata_Source,Metadata_Batch,Metadata_Plate,Metadata_Well,Metadata_JCP2022
broad,2022_11_28_Batch1,BR00135656,A01,control
broad,2022_11_28_Batch1,BR00135656,A02,control
broad,2022_11_28_Batch1,BR00135656,A03,control
broad,2022_11_28_Batch1,BR00135656,A04,control
broad,2022_11_28_Batch1,BR00135656,A05,control
broad,2022_11_28_Batch1,BR00135656,A06,control
broad,2022_11_28_Batch1,BR00135656,A07,control
broad,2022_11_28_Batch1,BR00135656,A08,control
broad,2022_11_28_Batch1,BR00135656,A09,control
broad,2022_11_28_Batch1,BR00135656,A10,control
broad,2022_11_28_Batch1,BR00135656,A11,control
broad,2022_11_28_Batch1,BR00135656,A12,control
broad,2022_11_28_Batch1,BR00135656,A13,control
broad,2022_11_28_Batch1,BR00135656,A14,control
broad,2022_11_28_Batch1,BR00135656,A15,control
broad,2022_11_28_Batch1,BR00135656,A16,control
broad,2022_11_28_Batch1,BR00135656,A17,control
broad,2022_11_28_Batch1,BR00135656,A18,control
broad,2022_11_28_Batch1,BR00135656,A19,control
broad,2022_11_28_Batch1,BR00135656,A20,control
broad,2022_11_28_Batch1,BR00135656,A21,control
broad,2022_11_28_Batch1,BR00135656,A22,control
broad,2022_11_28_Batch1,BR00135656,A23,control
broad,2022_11_28_Batch1,BR00135656,A24,control
broad,2022_11_28_Batch1,BR00135656,B01,control
broad,2022_11_28_Batch1,BR00135656,B02,control
broad,2022_11_28_Batch1,BR00135656,B03,control
broad,2022_11_28_Batch1,BR00135656,B04,control
broad,2022_11_28_Batch1,BR00135656,B05,control
broad,2022_11_28_Batch1,BR00135656,B06,control
broad,2022_11_28_Batch1,BR00135656,B07,control
broad,2022_11_28_Batch1,BR00135656,B08,control
broad,2022_11_28_Batch1,BR00135656,B09,control
broad,2022_11_28_Batch1,BR00135656,B10,control
broad,2022_11_28_Batch1,BR00135656,B11,control
broad,2022_11_28_Batch1,BR00135656,B12,control
broad,2022_11_28_Batch1,BR00135656,B13,control
broad,2022_11_28_Batch1,BR00135656,B14,control
broad,2022_11_28_Batch1,BR00135656,B15,control
broad,2022_11_28_Batch1,BR00135656,B16,control
broad,2022_11_28_Batch1,BR00135656,B17,control
broad,2022_11_28_Batch1,BR00135656,B18,control
broad,2022_11_28_Batch1,BR00135656,B19,control
broad,2022_11_28_Batch1,BR00135656,B20,control
broad,2022_11_28_Batch1,BR00135656,B21,control
broad,2022_11_28_Batch1,BR00135656,B22,control
broad,2022_11_28_Batch1,BR00135656,B23,control
broad,2022_11_28_Batch1,BR00135656,B24,control
broad,2022_11_28_Batch1,BR00135656,C01,control
broad,2022_11_28_Batch1,BR00135656,C02,control
broad,2022_11_28_Batch1,BR00135656,C03,control
broad,2022_11_28_Batch1,BR00135656,C04,control
broad,2022_11_28_Batch1,BR00135656,C05,control
broad,2022_11_28_Batch1,BR00135656,C06,control
broad,2022_11_28_Batch1,BR00135656,C07,control
broad,2022_11_28_Batch1,BR00135656,C08,control
broad,2022_11_28_Batch1,BR00135656,C09,control
broad,2022_11_28_Batch1,BR00135656,C10,control
broad,2022_11_28_Batch1,BR00135656,C11,control
broad,2022_11_28_Batch1,BR00135656,C12,control
broad,2022_11_28_Batch1,BR00135656,C13,control
broad,2022_11_28_Batch1,BR00135656,C14,control
broad,2022_11_28_Batch1,BR00135656,C15,control
broad,2022_11_28_Batch1,BR00135656,C16,control
broad,2022_11_28_Batch1,BR00135656,C17,control
broad,2022_11_28_Batch1,BR00135656,C18,control
broad,2022_11_28_Batch1,BR00135656,C19,control
broad,2022_11_28_Batch1,BR00135656,C20,control
broad,2022_11_28_Batch1,BR00135656,C21,control
broad,2022_11_28_Batch1,BR00135656,C22,control
broad,2022_11_28_Batch1,BR00135656,C23,control
broad,2022_11_28_Batch1,BR00135656,C24,control
