Metadata_Source,Metadata_Batch,Metadata_Plate
broad,2022_11_28_Batch1,BR00135676
broad,2022_11_28_Batch1,BR00135665
broad,2022_11_28_Batch1,BR00135657
broad,2022_11_28_Batch1,BR00135662
broad,2022_11_28_Batch1,BR00135668
broad,2022_11_28_Batch1,BR00135671
broad,2022_11_28_Batch1,BR00135675
broad,2022_11_28_Batch1,BR00135666
broad,2022_11_28_Batch1,BR00135659
broad,2022_11_28_Batch1,BR00135661
broad,2022_11_28_Batch1,BR00135672
broad,2022_11_28_Batch1,BR00135678
broad,2022_11_28_Batch1,BR00135670
broad,2022_11_28_Batch1,BR00135669
broad,2022_11_28_Batch1,BR00135663
broad,2022_11_28_Batch1,BR00135664
broad,2022_11_28_Batch1,BR00135656
broad,2022_11_28_Batch1,BR00135677
broad,2022_11_28_Batch1,BR00135679
broad,2022_11_28_Batch1,BR00135673
broad,2022_11_28_Batch1,BR00135658
broad,2022_11_28_Batch1,BR00135660
broad,2022_11_28_Batch1,BR00135667
broad,2022_11_28_Batch1,BR00135674
broad,2022_11_28_Batch5,BR00114586
broad,2022_11_28_Batch5,BR00110727
broad,2022_11_28_Batch5,BR00110720
broad,2022_11_28_Batch5,BR00110724
broad,2022_11_28_Batch5,BR00114585
broad,2022_11_28_Batch5,BR00113444
broad,2022_11_28_Batch5,BR00113443
broad,2022_11_28_Batch5,BR00110723
broad,2022_11_28_Batch5,BR00110729
broad,2022_11_28_Batch5,BR00110730
broad,2022_11_28_Batch5,BR00114609
broad,2022_11_28_Batch5,BR00113441
broad,2022_11_28_Batch5,BR00110721
broad,2022_11_28_Batch5,BR00110726
broad,2022_11_28_Batch5,BR00113446
broad,2022_11_28_Batch5,BR00112347
broad,2022_11_28_Batch5,BR00113442
broad,2022_11_28_Batch5,BR00110728
broad,2022_11_28_Batch5,BR00110722
broad,2022_11_28_Batch5,BR00114584
broad,2022_11_28_Batch5,BR00110725
broad,2022_11_28_Batch5,BR00113445
broad,2022_11_28_Batch2,BR00135843
broad,2022_11_28_Batch2,BR00135834
broad,2022_11_28_Batch2,BR00135827
broad,2022_11_28_Batch2,BR00135839
broad,2022_11_28_Batch2,BR00135833
broad,2022_11_28_Batch2,BR00135844
broad,2022_11_28_Batch2,BR00135837
broad,2022_11_28_Batch2,BR00135840
broad,2022_11_28_Batch2,BR00135824
broad,2022_11_28_Batch2,BR00135829
broad,2022_11_28_Batch2,BR00135823
broad,2022_11_28_Batch2,BR00135830
broad,2022_11_28_Batch2,BR00135845
broad,2022_11_28_Batch2,BR00135832
broad,2022_11_28_Batch2,BR00135838
broad,2022_11_28_Batch2,BR00135826
broad,2022_11_28_Batch2,BR00135835
broad,2022_11_28_Batch2,BR00135842
broad,2022_11_28_Batch2,BR00135831
broad,2022_11_28_Batch2,BR00135846
broad,2022_11_28_Batch2,BR00135828
broad,2022_11_28_Batch2,BR00135825
broad,2022_11_28_Batch2,BR00135841
broad,2022_11_28_Batch2,BR00135836
broad,2022_11_28_Batch3,BR00136520
broad,2022_11_28_Batch3,BR00136518
broad,2022_11_28_Batch3,BR00136512
broad,2022_11_28_Batch3,BR00136515
broad,2022_11_28_Batch3,BR00136527
broad,2022_11_28_Batch3,BR00136506
broad,2022_11_28_Batch3,BR00136508
broad,2022_11_28_Batch3,BR00136523
broad,2022_11_28_Batch3,BR00136511
broad,2022_11_28_Batch3,BR00136516
broad,2022_11_28_Batch3,BR00136524
broad,2022_11_28_Batch3,BR00136505
broad,2022_11_28_Batch3,BR00136507
broad,2022_11_28_Batch3,BR00136514
broad,2022_11_28_Batch3,BR00136526
broad,2022_11_28_Batch3,BR00136521
broad,2022_11_28_Batch3,BR00136513
broad,2022_11_28_Batch3,BR00136519
broad,2022_11_28_Batch3,BR00136517
broad,2022_11_28_Batch3,BR00136525
broad,2022_11_28_Batch3,BR00136528
broad,2022_11_28_Batch3,BR00136522
broad,2022_11_28_Batch3,BR00136510
broad,2022_11_28_Batch3,BR00136509
broad,2022_11_28_Batch4,BR00136687
broad,2022_11_28_Batch4,BR00136694
broad,2022_11_28_Batch4,BR00136700
broad,2022_11_28_Batch4,BR00136707
broad,2022_11_28_Batch4,BR00136693
broad,2022_11_28_Batch4,BR00136699
broad,2022_11_28_Batch4,BR00136710
broad,2022_11_28_Batch4,BR00136709
broad,2022_11_28_Batch4,BR00136697
broad,2022_11_28_Batch4,BR00136703
broad,2022_11_28_Batch4,BR00136704
broad,2022_11_28_Batch4,BR00136690
broad,2022_11_28_Batch4,BR00136689
broad,2022_11_28_Batch4,BR00136698
broad,2022_11_28_Batch4,BR00136706
broad,2022_11_28_Batch4,BR00136692
broad,2022_11_28_Batch4,BR00136695
broad,2022_11_28_Batch4,BR00136701
broad,2022_11_28_Batch4,BR00136688
broad,2022_11_28_Batch4,BR00136705
broad,2022_11_28_Batch4,BR00136691
broad,2022_11_28_Batch4,BR00136696
broad,2022_11_28_Batch4,BR00136702
broad,2022_11_28_Batch4,BR00136708
