Metadata_plate_map_name,Metadata_broad_sample,Metadata_Plate,Metadata_Well,Metadata_Count_Cells
JUMP-Target-2_compound_platemap,control,BR00135656,A01,1929
JUMP-Target-2_compound_platemap,control,BR00135656,A02,1589
JUMP-Target-2_compound_platemap,control,BR00135656,A03,1727
JUMP-Target-2_compound_platemap,control,BR00135656,A04,1677
JUMP-Target-2_compound_platemap,control,BR00135656,A05,1639
JUMP-Target-2_compound_platemap,control,BR00135656,A06,1665
JUMP-Target-2_compound_platemap,control,BR00135656,A07,1586
JUMP-Target-2_compound_platemap,control,BR00135656,A08,1757
JUMP-Target-2_compound_platemap,control,BR00135656,A09,1653
JUMP-Target-2_compound_platemap,control,BR00135656,A10,1662
JUMP-Target-2_compound_platemap,control,BR00135656,A11,1821
JUMP-Target-2_compound_platemap,control,BR00135656,A12,1739
JUMP-Target-2_compound_platemap,control,BR00135656,A13,1673
JUMP-Target-2_compound_platemap,control,BR00135656,A14,1785
JUMP-Target-2_compound_platemap,control,BR00135656,A15,1637
JUMP-Target-2_compound_platemap,control,BR00135656,A16,1737
JUMP-Target-2_compound_platemap,control,BR00135656,A17,1690
JUMP-Target-2_compound_platemap,control,BR00135656,A18,1480
JUMP-Target-2_compound_platemap,control,BR00135656,A19,1707
JUMP-Target-2_compound_platemap,control,BR00135656,A20,1772
JUMP-Target-2_compound_platemap,control,BR00135656,A21,2018
JUMP-Target-2_compound_platemap,control,BR00135656,A22,1837
JUMP-Target-2_compound_platemap,control,BR00135656,A23,1707
JUMP-Target-2_compound_platemap,control,BR00135656,A24,2004
JUMP-Target-2_compound_platemap,control,BR00135656,B01,1627
JUMP-Target-2_compound_platemap,control,BR00135656,B02,1674
JUMP-Target-2_compound_platemap,control,BR00135656,B03,1520
JUMP-Target-2_compound_platemap,control,BR00135656,B04,1722
JUMP-Target-2_compound_platemap,control,BR00135656,B05,1488
JUMP-Target-2_compound_platemap,control,BR00135656,B06,1710
JUMP-Target-2_compound_platemap,control,BR00135656,B07,1642
JUMP-Target-2_compound_platemap,control,BR00135656,B08,1645
JUMP-Target-2_compound_platemap,control,BR00135656,B09,1433
JUMP-Target-2_compound_platemap,control,BR00135656,B10,1771
JUMP-Target-2_compound_platemap,control,BR00135656,B11,1500
JUMP-Target-2_compound_platemap,control,BR00135656,B12,1560
JUMP-Target-2_compound_platemap,control,BR00135656,B13,1665
JUMP-Target-2_compound_platemap,control,BR00135656,B14,1635
JUMP-Target-2_compound_platemap,control,BR00135656,B15,1692
JUMP-Target-2_compound_platemap,control,BR00135656,B16,1677
JUMP-Target-2_compound_platemap,control,BR00135656,B17,1714
JUMP-Target-2_compound_platemap,control,BR00135656,B18,1538
JUMP-Target-2_compound_platemap,control,BR00135656,B19,1782
JUMP-Target-2_compound_platemap,control,BR00135656,B20,1760
JUMP-Target-2_compound_platemap,control,BR00135656,B21,1700
JUMP-Target-2_compound_platemap,control,BR00135656,B22,1675
JUMP-Target-2_compound_platemap,control,BR00135656,B23,1714
JUMP-Target-2_compound_platemap,control,BR00135656,B24,1954
JUMP-Target-2_compound_platemap,control,BR00135656,C01,1754
JUMP-Target-2_compound_platemap,control,BR00135656,C02,1629
JUMP-Target-2_compound_platemap,control,BR00135656,C03,1910
JUMP-Target-2_compound_platemap,control,BR00135656,C04,1956
JUMP-Target-2_compound_platemap,control,BR00135656,C05,1802
JUMP-Target-2_compound_platemap,control,BR00135656,C06,1916
JUMP-Target-2_compound_platemap,control,BR00135656,C07,2098
JUMP-Target-2_compound_platemap,control,BR00135656,C08,1951
JUMP-Target-2_compound_platemap,control,BR00135656,C09,1968
JUMP-Target-2_compound_platemap,control,BR00135656,C10,1960
JUMP-Target-2_compound_platemap,control,BR00135656,C11,1988
JUMP-Target-2_compound_platemap,control,BR00135656,C12,1973
JUMP-Target-2_compound_platemap,control,BR00135656,C13,2007
JUMP-Target-2_compound_platemap,control,BR00135656,C14,1850
JUMP-Target-2_compound_platemap,control,BR00135656,C15,1996
JUMP-Target-2_compound_platemap,control,BR00135656,C16,1931
JUMP-Target-2_compound_platemap,control,BR00135656,C17,1889
JUMP-Target-2_compound_platemap,control,BR00135656,C18,2021
JUMP-Target-2_compound_platemap,control,BR00135656,C19,1924
JUMP-Target-2_compound_platemap,control,BR00135656,C20,1942
JUMP-Target-2_compound_platemap,control,BR00135656,C21,1966
JUMP-Target-2_compound_platemap,control,BR00135656,C22,1910
JUMP-Target-2_compound_platemap,control,BR00135656,C23,1796
JUMP-Target-2_compound_platemap,control,BR00135656,C24,1846
JUMP-Target-2_compound_platemap,control,BR00135656,D01,1619
JUMP-Target-2_compound_platemap,control,BR00135656,D02,1605
JUMP-Target-2_compound_platemap,control,BR00135656,D03,1647
JUMP-Target-2_compound_platemap,control,BR00135656,D04,1739
JUMP-Target-2_compound_platemap,control,BR00135656,D05,1868
JUMP-Target-2_compound_platemap,control,BR00135656,D06,1981
JUMP-Target-2_compound_platemap,control,BR00135656,D07,1916
JUMP-Target-2_compound_platemap,control,BR00135656,D08,2128
JUMP-Target-2_compound_platemap,control,BR00135656,D09,1945
JUMP-Target-2_compound_platemap,control,BR00135656,D10,1909
JUMP-Target-2_compound_platemap,control,BR00135656,D11,2035
JUMP-Target-2_compound_platemap,control,BR00135656,D12,2047
